[2023-01-09 21:52:08.768] [pxr_streamer] [info] ***********  Log Begin **********
[2023-01-09 21:52:08.768] [pxr_streamer] [info] process id= 17788
[2023-01-09 21:52:08.769] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:08.770] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xfc2eadf0
[2023-01-09 21:52:08.770] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xfc2eadf0
[2023-01-09 21:52:10.783] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:12.814] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:14.840] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:16.867] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:18.883] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:20.896] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:22.920] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:24.938] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:26.966] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:28.987] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:31.002] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:33.019] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:35.023] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:37.039] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:39.066] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:41.081] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:43.103] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:45.120] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:47.152] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:49.166] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:51.186] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:53.212] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:55.236] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:57.261] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:52:59.279] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:53:01.301] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:53:03.324] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:53:05.336] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:53:07.345] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:53:09.366] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:53:11.391] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:53:13.413] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:53:15.415] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:53:17.452] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:53:19.485] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:53:21.501] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
[2023-01-09 21:53:23.524] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfc2eadf0
