[2023-01-02 16:33:00.068] [pxr_streamer] [info] ***********  Log Begin **********
[2023-01-02 16:33:00.068] [pxr_streamer] [info] process id= 8512
[2023-01-02 16:33:00.068] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x226abc40
[2023-01-02 16:33:00.069] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x226abc40
[2023-01-02 16:33:00.069] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x226abc40
[2023-01-02 16:33:02.071] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x226abc40
[2023-01-02 16:33:04.091] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x226abc40
[2023-01-02 16:33:06.108] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x226abc40
[2023-01-02 16:33:08.126] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x226abc40
[2023-01-02 16:33:10.132] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x226abc40
[2023-01-02 16:33:12.150] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x226abc40
[2023-01-02 16:33:14.161] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x226abc40
[2023-01-02 16:33:16.173] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x226abc40
[2023-01-02 16:33:18.193] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x226abc40
